|A|B|C|D|E|F|G|H|I|
| 145965 |         python         | 1m50s  |   janel    | 0  | 1330MHz  | 34.5 C | 27.0 C |187.4 W |
| 145971 |         python         | 1m50s  |   janel    | 4  | 1330MHz  | 37.4 C | 26.9 C |239.5 W |
| 145975 |         python         | 1m50s  |   janel    | 8  | 1330MHz  | 34.1 C | 27.0 C |171.4 W |
| 145982 |         python         | 1m49s  |   janel    | 12 | 1330MHz  | 35.8 C | 27.1 C |276.6 W |
| 145965 |         python         | 1m52s  |   janel    | 0  | 1330MHz  | 34.7 C | 27.0 C |233.5 W |
| 145971 |         python         | 1m52s  |   janel    | 4  | 1330MHz  | 37.6 C | 27.0 C |185.2 W |
| 145975 |         python         | 1m52s  |   janel    | 8  | 1330MHz  | 34.2 C | 27.0 C |190.0 W |
| 145982 |         python         | 1m52s  |   janel    | 12 | 1330MHz  | 35.9 C | 27.1 C |241.6 W |
| 145965 |         python         | 1m52s  |   janel    | 0  | 1330MHz  | 34.7 C | 27.0 C |184.3 W |
| 145971 |         python         | 1m52s  |   janel    | 4  | 1330MHz  | 37.7 C | 27.0 C |271.8 W |
| 145975 |         python         | 1m52s  |   janel    | 8  | 1330MHz  | 34.4 C | 27.0 C |229.0 W |
| 145982 |         python         | 1m52s  |   janel    | 12 | 1330MHz  | 36.0 C | 27.1 C |245.2 W |
